AUDIT_THEOREM KakeyaScalar.diagonal_monotone_and_bounds AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.profile_density_closure AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.profile_tendsto AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.slopeLimit_fixed AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.six_model_constants AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_six AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.wolff_diagonal_eight_domain AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.slope._sunfold AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.diagonal._f AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.six_conditioning_and_angular_constants AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.limit_diagonal_for_n_ge_six AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.profile_domain AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.slope_strictMono AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.bush_improvement_threshold AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal._proof_1 AXIOMS [propext]
AUDIT_THEOREM KakeyaScalar.slope_first_values AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal_tendsto AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.weakened_bush_substitution AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.profile_below_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.slope.eq_def AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal_tendsto._simp_1_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_eight AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.diagonal_envelope_obstruction AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.slope.eq_2 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.slope_step_strict AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.slope_tendsto AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION _private.Scalar_AxiomAudit.0.KakeyaScalar.slope.match_1.splitter AXIOMS []
AUDIT_THEOREM KakeyaScalar.dimension_six_limit AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.pivotDensity AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_DECLARATION KakeyaScalar.slope AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.profile.eq_1 AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_nine AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.benchmark_fourteen AXIOMS [propext, Classical.choice, Quot.sound]
AUDIT_THEOREM KakeyaScalar.dimension_eight_first_values AXIOMS [propext, Classical.choice, Quot.sound]
